5-Mod: [Δt =  5.00] Inject (1, 0), ID'd: [(1, 0)] 
5-Mod: [Δt =  5.00] Inject (1, 1), ID'd: [(1, 1)] 
5-Mod: [Δt = 10.00] Inject (1, 2), ID'd: [(1, 2)] 
5-Mod: [Δt = 10.00] Inject (1, 3), ID'd: [(1, 3)] 
5-Mod: [Δt = 15.00] Inject (2, 0), ID'd: [(2, 0)] 
5-Mod: [Δt = 30.01] Inject (2, 1), ID'd: [(2, 1)] 
5-Mod: [Δt =  5.00] Inject (2, 2), ID'd: [(2, 2)] 
5-Mod: [Δt = 10.00] Inject (2, 3), ID'd: [(2, 3)] 
5-Mod: [Δt = 30.01] Inject (4, 0), ID'd: [(4, 0)] 
5-Mod: [Δt = 35.01] Inject (4, 1), ID'd: [(4, 1)] 
5-Mod: [Δt = 10.00] Inject (4, 2), ID'd: [(4, 2)] 
5-Mod: [Δt = 15.00] Inject (4, 3), ID'd: [(4, 3)] 
5-Mod: [Δt = 30.01] Inject (5, 0), ID'd: [(5, 0)] 
5-Mod: [Δt = 30.01] Inject (5, 1), ID'd: [(5, 1)] 
5-Mod: [Δt = 35.01] Inject (5, 2), ID'd: [(5, 2)] 
5-Mod: [Δt = 35.01] Inject (5, 3), ID'd: [(5, 3)] 
8-Mod: [Δt = 15.00] Inject (1, 0), ID'd: [(1, 0)] 
8-Mod: [Δt = 20.00] Inject (1, 1), ID'd: [(1, 1)] 
8-Mod: [Δt = 20.00] Inject (1, 2), ID'd: [(1, 2)] 
8-Mod: [Δt = 25.01] Inject (1, 3), ID'd: [(1, 3)] 
8-Mod: [Δt = 15.00] Inject (2, 0), ID'd: [(2, 0)] 
8-Mod: [Δt = 25.01] Inject (2, 1), ID'd: [(2, 1)] 
8-Mod: [Δt = 30.01] Inject (2, 2), ID'd: [(2, 2)] 
8-Mod: [Δt = 20.00] Inject (2, 3), ID'd: [(2, 3)] 
8-Mod: [Δt = 20.00] Inject (3, 0), ID'd: [(3, 0)] 
8-Mod: [Δt = 25.01] Inject (3, 1), ID'd: [(3, 1)] 
8-Mod: [Δt = 25.01] Inject (3, 2), ID'd: [(3, 2)] 
8-Mod: [Δt = 30.01] Inject (3, 3), ID'd: [(3, 3)] 
8-Mod: [Δt = 30.01] Inject (4, 0), ID'd: [(4, 0)] 
8-Mod: [Δt = 35.01] Inject (4, 1), ID'd: [(4, 1)] 
8-Mod: [Δt = 15.00] Inject (4, 2), ID'd: [(4, 2)] 
8-Mod: [Δt = 20.00] Inject (4, 3), ID'd: [(4, 3)] 
8-Mod: [Δt = 30.01] Inject (5, 0), ID'd: [(5, 0)] 
8-Mod: [Δt = 35.01] Inject (5, 1), ID'd: [(5, 1)] 
8-Mod: [Δt = 15.00] Inject (5, 2), ID'd: [(5, 2)] 
8-Mod: [Δt = 20.00] Inject (5, 3), ID'd: [(5, 3)] 
8-Mod: [Δt = 20.00] Inject (6, 0), ID'd: [(6, 0)] 
8-Mod: [Δt = 25.01] Inject (6, 1), ID'd: [(6, 1)] 
8-Mod: [Δt = 25.01] Inject (6, 2), ID'd: [(6, 2)] 
8-Mod: [Δt = 30.01] Inject (6, 3), ID'd: [(6, 3)] 
8-Mod: [Δt = 20.00] Inject (7, 0), ID'd: [(7, 0)] 
8-Mod: [Δt = 30.01] Inject (7, 1), ID'd: [(7, 1)] 
8-Mod: [Δt = 35.01] Inject (7, 2), ID'd: [(7, 2)] 
8-Mod: [Δt = 25.01] Inject (7, 3), ID'd: [(7, 3)] 
8-Mod: [Δt = 25.01] Inject (8, 0), ID'd: [(8, 0)] 
8-Mod: [Δt = 30.01] Inject (8, 1), ID'd: [(8, 1)] 
8-Mod: [Δt = 30.01] Inject (8, 2), ID'd: [(8, 2)] 
8-Mod: [Δt = 35.01] Inject (8, 3), ID'd: [(8, 3)] 
12-Mod: [Δt = 15.00] Inject (1, 0), ID'd: [(1, 0)] 
12-Mod: [Δt = 20.00] Inject (1, 1), ID'd: [(1, 1)] 
12-Mod: [Δt = 25.01] Inject (1, 2), ID'd: [(1, 2)] 
12-Mod: [Δt = 20.00] Inject (1, 3), ID'd: [(1, 3)] 
12-Mod: [Δt = 15.00] Inject (2, 0), ID'd: [(2, 0)] 
12-Mod: [Δt = 25.01] Inject (2, 1), ID'd: [(2, 1)] 
12-Mod: [Δt = 30.01] Inject (2, 2), ID'd: [(2, 2)] 
12-Mod: [Δt = 20.00] Inject (2, 3), ID'd: [(2, 3)] 
12-Mod: [Δt = 25.01] Inject (3, 0), ID'd: [(3, 0)] 
12-Mod: [Δt = 20.00] Inject (3, 1), ID'd: [(3, 1)] 
12-Mod: [Δt = 25.01] Inject (3, 2), ID'd: [(3, 2)] 
12-Mod: [Δt = 30.01] Inject (3, 3), ID'd: [(3, 3)] 
12-Mod: [Δt = 25.01] Inject (4, 0), ID'd: [(4, 0)] 
12-Mod: [Δt = 30.01] Inject (4, 1), ID'd: [(4, 1)] 
12-Mod: [Δt = 35.01] Inject (4, 2), ID'd: [(4, 2)] 
12-Mod: [Δt = 30.01] Inject (4, 3), ID'd: [(4, 3)] 
12-Mod: [Δt = 35.01] Inject (6, 0), ID'd: [(6, 0)] 
12-Mod: [Δt = 30.01] Inject (6, 1), ID'd: [(6, 1)] 
12-Mod: [Δt = 35.01] Inject (6, 2), ID'd: [(6, 2)] 
12-Mod: [Δt = 40.02] Inject (6, 3), ID'd: [(6, 3)] 
12-Mod: [Δt = 15.00] Inject (7, 0), ID'd: [(7, 0)] 
12-Mod: [Δt = 20.00] Inject (7, 1), ID'd: [(7, 1)] 
12-Mod: [Δt = 25.01] Inject (7, 2), ID'd: [(7, 2)] 
12-Mod: [Δt = 20.00] Inject (7, 3), ID'd: [(7, 3)] 
12-Mod: [Δt = 25.01] Inject (9, 0), ID'd: [(9, 0)] 
12-Mod: [Δt = 20.00] Inject (9, 1), ID'd: [(9, 1)] 
12-Mod: [Δt = 25.01] Inject (9, 2), ID'd: [(9, 2)] 
12-Mod: [Δt = 30.01] Inject (9, 3), ID'd: [(9, 3)] 
12-Mod: [Δt = 25.01] Inject (10, 0), ID'd: [(10, 0)] 
12-Mod: [Δt = 30.01] Inject (10, 1), ID'd: [(10, 1)] 
12-Mod: [Δt = 35.01] Inject (10, 2), ID'd: [(10, 2)] 
12-Mod: [Δt = 30.01] Inject (10, 3), ID'd: [(10, 3)] 
12-Mod: [Δt = 25.01] Inject (11, 0), ID'd: [(11, 0)] 
12-Mod: [Δt = 35.01] Inject (11, 1), ID'd: [(11, 1)] 
12-Mod: [Δt = 40.02] Inject (11, 2), ID'd: [(11, 2)] 
12-Mod: [Δt = 30.01] Inject (11, 3), ID'd: [(11, 3)] 
12-Mod: [Δt = 35.01] Inject (12, 0), ID'd: [(12, 0)] 
